title,text
Bridge-spouted vessel,"A bridge-spouted vessel is a particular design of ewer (jug or pitcher) originating in antiquity; there is typically a connecting element between the spout and filling aperture, and the spout is a completely independent aperture from the usually smaller central fill opening.  Early incidences of the bridge spouted vessel are found in Persia in the early Iron Age and on Crete.  This type of vessel typically appears in the Bronze Age or early Iron Age.  A very early example of a bridge spouted bowl has been recovered at the ancient palace of Phaistos on Crete, dating to the Bronze Age."
Cordoba Treasure,"The Cordoba Treasure, or ""Tesoro de Córdoba"" in Spanish, is the name of a major Iron Age silver hoard found on the outskirts of the city of Córdoba, Spain in 1915.  The entire treasure was purchased by the British Museum in 1932, where it has been on public display ever since."
Celtic warfare,"This article discusses the warfare of the Ancient Celts throughout the European Iron Age and the Roman era, both of the Insular Celts and the Continental Celts (Gaul, Iberia, and Anatolia)"
Architecture of Karnataka,"The antiquity of Architecture of Karnataka(Kannada: ಕರ್ನಾಟಕ ವಾಸ್ತುಶಿಲ್ಪ ) can be traced to its southern Neolithic and early Iron Age, Having witnessed the architectural ideological and utilitarian transformation from shelter- ritual- religion.  Here the nomenclature ‘Architecture’ is as old as c.2000 B.C.E.  The upper or late Neolithic people in order to make their shelters, they constructed huts made of wattle and doab, that were buttressed by stone boulders, presumably having conical roof resting on the bamboo or wooden posts into red murram or paved granite chips as revealed in archaeological excavations in sites like Brhamagiri (Chitradurga district), Sanganakallu, Tekkalakota (Bellary district), Piklihal (Raichur district).  Megaliths are the dominant archaeological evidence of the early Iron Age (c. 1500 B.C.E- 100 C.E unsettled date).  There are more than 2000 early Iron Age burial sites on record, who laid the foundation for a high non perishable architecture in the form of various distinct architectural styles of stone built burials, which are ritualistic in its character.  The active religious architecture is evident 345 with that of the Kadamba Dynasty.  Karnataka is a state in the southern part of India originally known as the State of Mysore.  Over the centuries, architectural monuments within the region displayed a diversity of influences, often relaying much about the artistic trends of the rulers of twelve different dynasties.  Its architecture ranges dramatically from majestic monolith, such as the Gomateshwara, to Hindu and Jain places of worship, ruins of ancient cities, mausoleums and palaces of different architectural hue.  Mysore Kingdom (Wodeyar) rule has also given an architectural master structure in the St. Philomena's Church at Mysore (extolled by the King as a structure of divine compassion and the eager gratitude of men) which was completed in 1956, in addition to many Dravidian style architectural temples.  Two of the monuments (Pattadakal and Hampi) are listed under the UNESCO World Heritage List of 22 cultural monuments in India.  Styles of Indo-Saracenic, Renaissance, Corinthian, Hindu, Indo-Greek and Indo-British style palaces were built in Mysore, the city of palaces.  Sikh architecture at Bidar (1512) and also in Bangalore in 1956 can also be cited as having an impact on the architectural composition of the state."
La Tène culture,"The La Tène culture ( ; ] ) was a European Iron Age culture named after the archaeological site of La Tène on the north side of Lake Neuchâtel in Switzerland, where thousands of objects had been deposited in the lake, as was discovered after the water level dropped in 1857."
Torc,"A torc, also spelled torq or torque, is a large rigid or stiff neck ring in metal, made either as a single piece or from strands twisted together.  The great majority are open at the front, although some had hook and ring closures and a few had mortice and tenon locking catches to close them.  Many seem designed for near-permanent wear and would have been difficult to remove.  Torcs are found in the Scythian, Illyrian Thracian, Celtic, and other cultures of the European Iron Age from around the 8th century BC to the 3rd century AD.  For the Iron Age Celts the gold torc seems to have been a key object, identifying the wearer as a person of high rank, and many of the finest works of ancient Celtic art are torcs.  The Celtic torc disappears in the Migration Period, but during the Viking Age torc-style metal necklaces, now mainly in silver, came back into fashion.  Torc styles of neck-ring are found as part of the jewellery styles of various other cultures and periods."
Iron armour,"Iron armour was a type of armour used on warships and, to a limited degree, fortifications.  The use of iron gave rise to the term ironclad as a reference to a ship 'clad' in iron.  The earliest material available in sufficient quantities for armouring ships was iron, wrought or cast.  While cast iron has never been used for naval armour, it did find a use in land fortifications, presumable due to the lower cost of the material.  One well known example of cast-iron armour for land use is the Gruson turret, first tested by the Prussian government in 1868.  Armoured ships may have been built as early as 1203, in the far east.  In the West, they first become common when France launched the first ocean-going ironclad ""La Gloire"" in 1859.  The British Navy responded with HMS ""Warrior"" in 1860, triggering a naval arms race with bigger, more heavily armed and armoured ironclads."
"Hoosick, New York","Hoosick is a town in Rensselaer County, New York, United States.  The population was 6,924 at the 2010 census.  It was named from the Hoosic River."
Sherwood Equal Rights Historic District,"Sherwood Equal Rights Historic District is a national historic district located at Sherwood in Cayuga County, New York.  The district consists of 29 properties containing 27 contributing primary buildings, one contributing site (cemetery), three contributing carriage houses and one non-contributing building in the historic core of the hamlet of Sherwood.  It encompasses the entire hamlet and includes several commercial / civic structures at the intersection of New York State Route 34B and Sherwod Road.  Most of the houses are one or two stories, of heavy timber frame construction and built between the 1820s and about 1910.  Located within the district are the separately listed Howland Cobblestone Store and Slocum and Hannah Howland House.  The structures commemorate the historical Quaker community's dedication to abolition, women's rights, and education."
New York County District Attorney,"The New York County District Attorney is the elected district attorney for New York County (Manhattan), New York.  The office is responsible for the prosecution of violations of New York state laws. (Federal law violations in Manhattan are prosecuted by the U.S. Attorney for the Southern District of New York.)  The current district attorney is Cyrus Vance, Jr."
