id,title,text
5693,John of Caesarea,"John( died 1238/ 41) was the Lord of Caesarea from 1229 and an important figure in the kingdoms of Cyprus and Jerusalem. He was the only son of Walter III of Caesarea and Marguerite d' Ibelin, daughter of Balian of Ibelin. He was often called"" the young lord of Caesarea"" throughout his life to distinguish him from his father, who had been called"" the old lord of Caesarea""."
5694,Philip of Ibelin (1180–1227),"Philip of Ibelin( 1180- 1227) was a leading nobleman of the Kingdom of Cyprus. As a younger son of Balian of Ibelin and the dowager queen Maria Komnene, he came from the high Crusader nobility of the Kingdom of Jerusalem."
5695,Guy of Ibelin (1286–1308),"Guy of Ibelin( 1286–1308), Lord of Nicosia, was the son of Balian of Ibelin, seneschal of the kingdom of Cyprus, and of Alice of Lampron. In 1303, with papal dispensation, he married his cousin Isabella of Ibelin, daughter of Baldwin of Ibelin and of Marguerite de Giblet. Their only child was Alix of Ibelin, second wife of Hugh IV of Cyprus. Guy was buried on September 8, 1308 in the Premonstratensian Abbey of Bellapais near Kyrenia, Cyprus."
5696,Philip of Ibelin (died 1318),"Philip of Ibelin( born c. 1255; died 25 November 1318, Nicosia) was Seneschal of the Kingdom of Cyprus. As one of the sons of Philippa Barlais and her husband Guy of Ibelin, he was a member of the house of Ibelin. He married to: 1. c. 1280 Maria, daughter of Vahran of Hamousse by Mary of Ibelin, without issue; 2. c. 1295 Maria Embriaco of Gibelletto( d. 1331)"
5697,"Philip of Montfort, Lord of Tyre","Philip Ι of Montfort,( d. 17 March 1270, Tyre) was Lord of La Ferté- Alais and Castres- en- Albigeois 1228 – 1270, Lord of Tyre 1246 – 1270, and Lord of Toron aft. 1240 – 1270. He was the son of Guy of Montfort and Helvis of Ibelin( daughter of Balian of Ibelin)."
5698,Balian of Ibelin (1240–1302),"Balian of Ibelin (1240–1302), seneschal of Cyprus, was a son of Guy of Ibelin, constable of Cyprus, and Philippa Berlais. He married Alice of Hetumids of Lampron, daughter of Escive de Poitiers (daughter of Raymond-Roupen) and they had:"
5699,"Guy of Ibelin, constable of Cyprus","Guy of Ibelin (French: Guy d'Ibelin) (1215/1218 – after May 1255) was marshal and constable of the kingdom of Cyprus. He was the fifth son of John of Ibelin, the Old Lord of Beirut, and of Melisende of Arsuf. He had close relations with the king of Cyprus, Henry I, acting as witness for two royal decrees; he was probably one of the king's executors named in a papal bull of Pope Alexander IV. With his brother Baldwin of Ibelin, he led the Cypriot crusaders in the siege of Damietta in 1248. According to the medieval chronicler Jean de Joinville, he was one of the most accomplished knights of his generation and a benevolent ruler on Cyprus. Joinville recounts an episode when he, Guy and Baldwin had been taken prisoner by saracen rebels: Guy married Phillipa Berlais, daughter of Aimery Berlais. Their children were:"
5700,Guy of Ibelin (bishop),"Guy of Ibelin( Fr:"" Guy d' Ibelin"")( died 29 March 1367) was the dominican bishop of Limassol, Cyprus from 27 April 1357 until his death. He belonged to the noble Cypriot house of Ibelin, closely linked by intermarriage with the kings of Cyprus. His father Balian of Ibelin( d. 28 October 1333), Lord of Arsuf, was a direct descendant of the first Balian of Ibelin, an important crusader. His mother, Margaret of Ibelin, continued to hold the title Lady of Arsuf after her husband's death. In the second half of the fourteenth century the fortunes of the house of Ibelin were in decline, as the once- powerful family became extinct. Guy's brother Philip became the last Ibelin to hold the title Lord of Arsuf. He was executed in Genoa in late 1373 for taking part in the assassination of King Peter I of Cyprus in 1369; King James I of Cyprus subsequently bestowed the title on John of Neviles, viscount of Nicosia, in 1389. Instead of receiving a prebend, the normal path for a younger son of a high aristocratic family to join the church and enjoy the comfortable life of an ecclesiastical nobleman, Guy chose to join the austere dominican order, perhaps in the same monastery in Nicosia where he was later laid to rest. Two years after his elevation to bishop in 1357, he was the presiding bishop at the coronation of Peter I in the cathedral of St Sophia, Nicosia. It appears that he took part in the campaign to capture Alexandria in 1365, before succumbing to illness in his mansion in Nicosia in 1367. Guy bequeathed 20,000 bezants towards the construction of the cathedral of St Nicholas in Limassol. A detailed inventory of his belongings survives him; although his main residence, in addition to his three rural estates, was not furnished in an opulent manner, – Turkish carpets and cushions typical of the Latin orient replacing courtly tapestries – he still indulged in hunting, the favourite pastime of the nobility, having three falconers in his service, a modest number for the time."
5701,Rickard Olsson,"Rickard Olsson,( born 7 February 1967 in Gävle) is a Swedish television and radio presenter. He presented"" Bingolotto"" between 2005 and 2008 and since 2008 he presents the quiz show Vem vet mest?"" and"" Vem vet mest junior? broadcast on SVT."
5702,Petrus de Domarto,"Petrus de Domarto( fl. c. 1445– 1455) was a Franco- Flemish composer of the Renaissance. He was a contemporary and probable acquaintance of Ockeghem, and was the composer of at least one of the first unified mass cycles to be written in continental Europe."
5703,Alexander Courage,"Alexander Mair"" Sandy"" Courage Jr.( December 10, 1919 May 15, 2008) was an American orchestrator, arranger, and composer of music, primarily for television and film. He is best known as the composer of the theme music for the original"" Star Trek"" series."
5704,Javier Vet,"Javier Vet( born 9 September 1993 in Amsterdam) is a Dutch professional footballer who plays as a midfielder for De Graafschap in the Eredivisie. He formerly played for AFC, FC Dordrecht and Almere City."
5705,Vem vet,"""Vem vet"" (in English: ""Who knows"") is a song written and recorded by Lisa Ekdahl, and released as a single from her 1994 album, ""Lisa Ekdahl"". The single peaked at number 4 in both Sweden and Norway. On the Eurochart Hot 100, ""Vem vet"" reached number 56. The song also charted at Svensktoppen for a total of 10 weeks between 12 March-14 May 1994, topping the chart on 9 April that year. The song received significant radio airplay in Sweden and Norway throughout the year."
5706,Alonso Mudarra,"Alonso Mudarra( c. 1510 – April 1, 1580) was a Spanish composer of the Renaissance, and also played the vihuela, a guitar- shaped string instrument. He was an innovative composer of instrumental music as well as songs, and was the composer of the earliest surviving music for the guitar."
5707,Alexandru Cristea,"Alexandru Cristea( 1890 – 1942) was the composer of the music for"" Limba Noastră"", current national anthem of Moldova."
5708,Walter Robinson (composer),"Walter Robinson is an African American composer of the late 20th century. He is most notable for his 1977 song"" Harriet Tubman"", which has been recorded by folk musicians such as Holly Near, John McCutcheon, and others. He is also the composer of several operas."
5709,Lisa Ekdahl,"Lisa Ekdahl (born July 29, 1971 in Hägersten, Stockholm, Sweden) is a Swedish popular music singer and songwriter. She has so far released 10 albums, most of them in Swedish but some entirely in English. Her voice has been described as ""child-like"" and ""soft, supple and smooth""."
5710,Michelangelo Faggioli,"Michelangelo Faggioli( 1666–1733) was an Italian lawyer and celebrated amateur composer of humorous cantatas in Neapolitan dialect. A founder of a new genre of Neapolitan comedy, he was the composer of the opera buffa"" La Cilla"" in 1706."
5711,Edward Dillon (actor),"Edward Dillon (January 1, 1879 – July 11, 1933) was an American actor, director and screenwriter of the silent era. He appeared in 327 films between 1905 and 1932. He also directed 134 films between 1913 and 1926. He was born in New York, New York and died in Hollywood, California from a heart attack, aged 54. He was the brother of actor John T. Dillon."
5712,Jesse E. Hobson,"Jesse Edward Hobson( May 2, 1911 – November 5, 1970) was the director of SRI International from 1947 to 1955. Prior to SRI, he was the director of the Armour Research Foundation."
5713,Ian Barry (director),Ian Barry is an Australian director of film and TV.
5714,Olav Aaraas,"Olav Aaraas( born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav."
